name,connection_type,connection,is_ambiguous
Wesley Chen,Person,Co-author,False
Andrew Edgley,Person,Co-author,False
Raunak Hota,Person,Co-author,False
Joshua Liu,Person,Co-author,False
Ezra Schwartz,Person,Co-author,False
Aminah Yizar,Person,Co-author,False
Neehar Peri,Person,Co-author,False
James Purtilo,Person,Co-author,False
labelCloud,Organization,Referenced,False
SAnE,Organization,Referenced,False
LATTE,Organization,Referenced,False
3D BAT,Organization,Referenced,False
nuScenes,Organization,Referenced,False
Waymo Open Dataset,Organization,Referenced,False
Argoverse 2.0,Organization,Referenced,False
J. Smith,Person,Co-author,True
GitHub,Organization,Referenced,False
Open3D,Organization,Used as rendering backend,False
ReBound,Organization,Referenced,False
SEAM Lab,Organization,Funded,False
University of Maryland,Organization,Funded,False
ArgoAI Center for Autonomous Vehicle Research,Organization,Funded,False
Carnegie Mellon University,Organization,Funded,False
P. Sun,Person,Co-author,True
H. Kretzschmar,Person,Co-author,True
X. Dotiwalla,Person,Co-author,True
A. Chouard,Person,Co-author,True
V. Patnaik,Person,Co-author,True
P. Tsui,Person,Co-author,True
J. Guo,Person,Co-author,True
Y. Zhou,Person,Co-author,True
Y. Chai,Person,Co-author,True
B. Caine,Person,Co-author,True
V. Vasudevan,Person,Co-author,True
W. Han,Person,Co-author,True
J. Ngiam,Person,Co-author,True
H. Zhao,Person,Co-author,True
A. Timofeev,Person,Co-author,True
S. Ettinger,Person,Co-author,True
M. Krivokon,Person,Co-author,True
A. Gao,Person,Co-author,True
A. Joshi,Person,Co-author,True
Y. Zhang,Person,Co-author,True
J. Shlens,Person,Co-author,True
Z. Chen,Person,Co-author,True
D. Anguelov,Person,Co-author,True
IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Organization,Funded,False
Waymo,Organization,Referenced,False
Argoverse2,Organization,Referenced,False
IEEE Intelligent Vehicles Symposium,Organization,Referenced,False
CVPR,Organization,Referenced,False
British Machine Vision Conference,Organization,Referenced,False
European Radar Conference,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
Wesley Chen,Person,Co-author,False
name,connection_type,connection,is_ambiguous
Andrew Edgley,Person,Co-author,False
name,connection_type,connection,is_ambiguous
Raunak Hota,Person,Co-author,False
name,connection_type,connection,is_ambiguous
Joshua Liu,Person,Co-author,False
name,connection_type,connection,is_ambiguous
Ezra Schwartz,Person,Co-author,False
name,connection_type,connection,is_ambiguous
Aminah Yizar,Person,Co-author,False
name,connection_type,connection,is_ambiguous
Neehar Peri,Person,Co-author,False
name,connection_type,connection,is_ambiguous
James Purtilo,Person,Co-author,False
name,connection_type,connection,is_ambiguous
ReBound,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
labelCloud,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
SAnE,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
LATTE,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
3D BAT,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
nuScenes,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
Waymo Open Dataset,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
Argoverse 2.0,Organization,Referenced,False
name,connection_type,connection,is_ambiguous
Open3D,Organization,Used as rendering backend,False
name,connection_type,connection,is_ambiguous
SEAM Lab,Organization,Funded,False
name,connection_type,connection,is_ambiguous
University of Maryland,Organization,Funded,False
name,connection_type,connection,is_ambiguous
ArgoAI Center for Autonomous Vehicle Research,Organization,Funded,False
name,connection_type,connection,is_ambiguous
Carnegie Mellon University,Organization,Funded,False
name,connection_type,connection,is_ambiguous
P. Sun,Person,Co-author,True
name,connection_type,connection,is_ambiguous
H. Kretzschmar,Person,Co-author,True
name,connection_type,connection,is_ambiguous
X. Dotiwalla,Person,Co-author,True
name,connection_type,connection,is_ambiguous
A. Chouard,Person,Co-author,True
name,connection_type,connection,is_ambiguous
V. Patnaik,Person,Co-author,True
name,connection_type,connection,is_ambiguous
P. Tsui,Person,Co-author,True
name,connection_type,connection,is_ambiguous
J. Guo,Person,Co-author,True
name,connection_type,connection,is_ambiguous
Y. Zhou,Person,Co-author,True
